Estado ,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Minima,Maxima,Promedio
Aguascalientes,4.73,5.72,6.85,7.2,7.18,6.41,6.07,6,5.5,5.49,5.19,4.61,4.61,7.2,5.9125
Baja California,3.36,4.13,5.27,6.49,6.45,6.12,6.31,6.18,5.36,4.3,3.69,3.13,3.13,6.49,5.065833333
Baja California Sur,3.8,4.74,5.96,6.79,7.36,7.3,6.71,6.16,5.55,5.02,4.15,3.54,3.54,7.36,5.59
Campeche,4.59,5.45,6.21,6.75,6.92,6.68,6.66,6.56,6.06,5.29,4.75,4.24,4.24,6.92,5.846666667
Coahuila,3.83,4.61,5.73,5.94,6.27,6.19,6.06,5.74,5.05,4.66,4.2,3.64,3.64,6.27,5.16
Colima,4.85,5.8,6.92,7.18,6.82,5.73,5.3,5.2,4.85,5.02,5.07,4.61,4.61,7.18,5.6125
Chiapas,4.33,5.01,5.92,6.15,5.9,5.32,5.64,5.45,4.74,4.52,4.5,4.28,4.28,6.15,5.146666667
Chihuahua,3.45,4.23,5.61,6.67,7.29,7.4,6.74,6.06,5.28,4.47,3.69,3.11,3.11,7.4,5.333333333
Ciudad de México,4.78,5.73,6.55,6.5,6.24,5.6,5.51,5.42,4.95,4.92,4.81,4.49,4.49,6.55,5.458333333
Durango,4.42,5.35,6.62,7.01,7.15,6.64,5.97,5.84,5.34,5.4,4.81,4.17,4.17,7.15,5.726666667
Guanajuato,4.67,5.64,6.64,6.89,6.85,6.36,6.06,6.01,5.42,5.31,5.05,4.57,4.57,6.89,5.789166667
Guerrero,5.17,5.98,6.78,6.83,6.23,5.42,5.77,5.61,5.05,5.22,5.18,4.89,4.89,6.83,5.6775
Hidalgo,4.17,5,5.85,6.15,6.26,5.73,5.58,5.53,4.75,4.52,4.35,4,4,6.26,5.1575
Jalisco,4.81,5.77,6.86,7.24,7.15,6.2,5.66,5.63,5.21,5.36,5.17,4.6,4.6,7.24,5.805
Estado de México,4.78,5.73,6.55,6.5,6.24,5.6,5.51,5.42,4.95,4.92,4.81,4.49,4.49,6.55,5.458333333
Michoacán,4.89,5.86,6.9,7.06,6.64,5.61,5.3,5.25,4.87,4.91,5.03,4.68,4.87,7.06,5.583333333
Morelos,5.19,6.1,6.96,7.06,6.66,6.01,6.28,6,5.43,5.37,5.26,4.9,4.9,7.06,5.935
Nayarit,4.64,5.63,6.82,7.38,7.66,6.58,5.86,5.76,5.33,5.43,5.06,4.4,4.4,7.66,5.879166667
Nuevo León,3.4,4.13,5.23,5.53,5.81,6.23,6.37,6.04,5.04,4.4,3.8,3.27,3.27,6.37,4.9375
Oaxaca,4.7,5.3,6.11,6.38,6.08,5.33,5.34,5.28,4.7,4.71,4.63,4.53,4.53,6.38,5.2575
Puebla,4.73,5.5,6.2,6.21,6.16,5.64,5.67,5.57,4.95,4.94,4.79,4.49,4.49,6.21,5.404166667
Querétaro,4.84,5.86,6.81,7.04,6.81,6.36,6.14,6.06,5.49,5.29,5.09,4.58,4.58,7.04,5.864166667
Quintana Roo,4.27,5.23,6.08,6.82,6.86,6.39,6.78,6.54,5.77,5.13,4.47,3.97,3.97,6.86,5.6925
San Luis Potosí,4.25,5.11,6.1,6.44,6.66,6.39,6.06,6.03,5.14,5,4.62,4.07,4.07,6.66,5.489166667
Sinaloa,4.36,5.25,6.55,7.28,7.91,7.68,6.71,6.2,5.68,5.47,4.63,3.99,3.99,7.91,5.975833333
Sonora,3.8,4.66,6.19,7.31,7.72,7.71,6.69,6.14,5.81,5.06,4.17,3.54,3.54,7.72,5.733333333
Tabasco,3.83,4.51,5.47,5.99,5.85,5.49,5.7,5.56,4.85,4.35,4.06,3.61,3.61,5.99,4.939166667
Tamaulipas,3.08,3.76,4.84,5.45,5.97,6.52,6.62,6.06,5.17,4.47,3.52,2.96,2.96,6.62,4.868333333
Tlaxcala,4.73,5.5,6.2,6.21,6.16,5.64,5.67,5.57,4.95,4.94,4.79,4.49,4.49,6.21,5.404166667
Veracruz,3.65,4.23,4.86,5.35,5.46,5.07,5.27,5.05,4.46,4.29,3.95,3.55,3.55,5.46,4.599166667
Yucatán,4.25,4.97,5.77,6.35,6.31,5.87,5.9,5.71,5.36,4.78,4.33,3.98,3.98,6.35,5.298333333
Zacatecas,4.57,5.51,6.62,6.95,7,6.36,6.02,5.95,5.41,5.34,5.02,4.41,4.41,7,5.763333333
